Title,Company,URL
Data Scientist con Conocimientos en MLOps,Krell Consulting & Training,https://www.tecnoempleo.com/data-scientist-con-conocimientos-en-mlops-hibrido/python-r-data-mlops/rf-8d52145a12662316ba4f
Ingeniero/a de datos (h/m/d),Michael Page,https://www.tecnoempleo.com/ingeniero-datos-h-m-d-zaragoza/python-sql-r-big-data-etl/rf-24cc1ea6a25543297e46
Solution Architect (I&D),Capgemini,https://www.tecnoempleo.com/solution-architect-i-d-hibrido/ai-analisis-datos-data-science-big-data-aws/rf-012b15a7722123229145
SAP Datasphere Consultant (I&D),Capgemini,https://www.tecnoempleo.com/sap-datasphere-consultant-i-d-hibrido/sap-datasphere-bw-bpc/rf-2e561f3fc26e931a7844
Data Platform Engineer,Michael Page,https://www.tecnoempleo.com/data-platform-engineer-zaragoza/python-sql-data-lake-warehouse-kafka-aws-a/rf-75711fd682b0e30d4d47
Data Engineer,Krell Consulting & Training,https://www.tecnoempleo.com/data-engineer-hibrido/data-scala-powershell/rf-bee217d3e2ff8336ae49
Arquitecto/a Técnico,Krell Consulting & Training,https://www.tecnoempleo.com/arquitecto-tecnico-remoto/kafka-microservicios-microfrontends-big-data/rf-c5871f8d420113dea446
Power BI Consultant (I&D),Capgemini,https://www.tecnoempleo.com/power-bi-consultant-i-d-hibrido/power-bi-tableau-data-services-qlik/rf-2a521c47322683cde34a
Master Data Specialist TEMP contract,Michael Page,https://www.tecnoempleo.com/master-data-specialist-temp-contract-hibrido/data/rf-32951098c24153d0764e
Master Data Specialist TEMP contract,Page Personnel,https://www.tecnoempleo.com/master-data-specialist-temp-contract-hibrido/data/rf-d1a71b89129e33ddcf45
Big data,Krell Consulting & Training,https://www.tecnoempleo.com/big-data-barcelona/big-data-scala-powershell/rf-5a331b8a52aaf388a042
SAP Customer Data Platform (CDP),Krell Consulting & Training,https://www.tecnoempleo.com/sap-customer-data-platform-cdp-remoto/sap-data-cdp/rf-35a41eea827ee3f24a4f
